expand_abbreviations,keep_usernames,keep_negation,use_attention,use_hidden_states,one_hot,max_length,val_accuracy
True,True,True,True,True,True,30,0.8014744602422328
True,True,True,True,True,True,50,0.79884149552396
True,True,True,True,True,False,30,0.8006845708267509
True,True,True,True,True,False,50,0.7833070036861506
True,True,True,True,False,True,30,0.8001579778830964
True,True,True,True,False,True,50,0.7969984202211691
True,True,True,True,False,False,30,0.7962085308056872
True,True,True,True,False,False,50,0.7935755660874144
True,True,True,False,True,True,30,0.7867298578199052
True,True,True,False,True,True,50,0.7888362295945235
True,True,True,False,True,False,30,0.7917324907846235
True,True,True,False,True,False,50,0.7872564507635598
True,True,True,False,False,True,30,0.7991047919957872
True,True,True,False,False,True,50,0.7951553449183781
True,True,True,False,False,False,30,0.7877830437072143
True,True,True,False,False,False,50,0.7688256977356503
True,True,False,True,True,True,30,0.7380200105318588
True,True,False,True,True,True,50,0.7451290152711953
True,True,False,True,True,False,30,0.7374934175882043
True,True,False,True,True,False,50,0.7482885729331227
True,True,False,True,False,True,30,0.7335439705107951
True,True,False,True,False,True,50,0.7501316482359136
True,True,False,True,False,False,30,0.7369668246445498
True,True,False,True,False,False,50,0.7414428646656135
True,True,False,False,True,True,30,0.7453923117430227
True,True,False,False,True,True,50,0.7464454976303317
True,True,False,False,True,False,30,0.7417061611374408
True,True,False,False,True,False,50,0.7356503422854134
True,True,False,False,False,True,30,0.7451290152711953
True,True,False,False,False,True,50,0.7374934175882043
True,True,False,False,False,False,30,0.7414428646656135
True,True,False,False,False,False,50,0.7340705634544498
True,False,True,True,True,True,30,0.7864665613480779
True,False,True,True,True,True,50,0.7962085308056872
True,False,True,True,True,False,30,0.789362822538178
True,False,True,True,True,False,50,0.7888362295945235
True,False,True,True,False,True,30,0.7838335966298051
True,False,True,True,False,True,50,0.7877830437072143
True,False,True,True,False,False,30,0.792259083728278
True,False,True,True,False,False,50,0.7622432859399684
True,False,True,False,True,True,30,0.7927856766719326
True,False,True,False,True,True,50,0.7830437072143234
True,False,True,False,True,False,30,0.7890995260663507
True,False,True,False,True,False,50,0.7896261190100052
True,False,True,False,False,True,30,0.7980516061084781
True,False,True,False,False,True,50,0.7998946814112691
True,False,True,False,False,False,30,0.7806740389678778
True,False,True,False,False,False,50,0.7975250131648236
True,False,False,True,True,True,30,0.7464454976303317
True,False,False,True,True,True,50,0.7459189046866772
True,False,False,True,True,False,30,0.7496050552922591
True,False,False,True,True,False,50,0.7209057398630858
True,False,False,True,False,True,30,0.7335439705107951
True,False,False,True,False,True,50,0.735387045813586
True,False,False,True,False,False,30,0.7527646129541864
True,False,False,True,False,False,50,0.7480252764612955
